GEO.id,id,GEO.display-label,HD01_VD01,HD02_VD01
0400000US01,1,Alabama,4802740,*****
0400000US02,2,Alaska,722718,*****
0400000US04,4,Arizona,6482505,*****
0400000US05,5,Arkansas,2937979,*****
0400000US06,6,California,37691912,*****
0400000US08,8,Colorado,5116796,*****
0400000US09,9,Connecticut,3580709,*****
0400000US10,10,Delaware,907135,*****
0400000US11,11,District of Columbia,617996,*****
0400000US12,12,Florida,19057542,*****
0400000US13,13,Georgia,9815210,*****
0400000US15,15,Hawaii,1374810,*****
0400000US16,16,Idaho,1584985,*****
0400000US17,17,Illinois,12869259,*****
0400000US18,18,Indiana,6516922,*****
0400000US19,19,Iowa,3062309,*****
0400000US20,20,Kansas,2871238,*****
0400000US21,21,Kentucky,4369356,*****
0400000US22,22,Louisiana,4574836,*****
0400000US23,23,Maine,1328188,*****
0400000US24,24,Maryland,5828289,*****
0400000US25,25,Massachusetts,6587536,*****
0400000US26,26,Michigan,9876187,*****
0400000US27,27,Minnesota,5344861,*****
0400000US28,28,Mississippi,2978512,*****
0400000US29,29,Missouri,6010688,*****
0400000US30,30,Montana,998199,*****
0400000US31,31,Nebraska,1842641,*****
0400000US32,32,Nevada,2723322,*****
0400000US33,33,New Hampshire,1318194,*****
0400000US34,34,New Jersey,8821155,*****
0400000US35,35,New Mexico,2082224,*****
0400000US36,36,New York,19465197,*****
0400000US37,37,North Carolina,9656401,*****
0400000US38,38,North Dakota,683932,*****
0400000US39,39,Ohio,11544951,*****
0400000US40,40,Oklahoma,3791508,*****
0400000US41,41,Oregon,3871859,*****
0400000US42,42,Pennsylvania,12742886,*****
0400000US44,44,Rhode Island,1051302,*****
0400000US45,45,South Carolina,4679230,*****
0400000US46,46,South Dakota,824082,*****
0400000US47,47,Tennessee,6403353,*****
0400000US48,48,Texas,25674681,*****
0400000US49,49,Utah,2817222,*****
0400000US50,50,Vermont,626431,*****
0400000US51,51,Virginia,8096604,*****
0400000US53,53,Washington,6830038,*****
0400000US54,54,West Virginia,1855364,*****
0400000US55,55,Wisconsin,5711767,*****
0400000US56,56,Wyoming,568158,*****
0400000US72,72,Puerto Rico,3706690,*****